id,type,condition,style,zipcode,size,bedroom,bath,price,lease
1,sales,0,multi-family,10001,1000,1,1.0,200000,
2,sales,1,apartment,10002,1000,1,1.0,200000,
3,sales,2,condo,10003,1000,1,1.0,200000,
4,sales,3,co-op,10004,1000,1,1.0,200000,
5,sales,4,townhome,10005,1500,2,1.0,250000,
6,sales,0,single-family,10006,2000,3,2.0,250000,
7,sales,1,colonial,10007,2000,3,2.0,300000,
8,sales,2,new england,10008,2000,3,2.0,325000,
9,sales,3,cape cod,10009,2000,3,2.0,350000,
10,sales,4,classical,10010,2000,3,2.0,375000,
11,sales,0,federal,10011,2000,3,2.0,350000,
12,sales,1,greek revival,10012,2000,3,2.0,400000,
13,sales,2,tidewater,10013,2000,3,2.0,450000,
14,sales,3,antebellum,10014,2000,3,2.0,450000,
15,sales,4,victorian,10016,2000,3,2.0,475000,
16,sales,0,gothic,10017,3000,3,2.5,400000,
17,sales,1,second empire,10018,3000,3,2.5,425000,
18,sales,2,queen anne,10019,3000,3,2.5,450000,
19,sales,3,contemporary,10020,3000,3,2.5,500000,
20,sales,4,ranch,10021,3000,3,2.5,600000,
21,sales,0,raised ranch,10022,4000,3,2.5,500000,
22,sales,1,split-level,10023,4000,3,2.5,550000,
23,sales,2,bauhaus,10024,4000,3,2.5,600000,
24,sales,3,art moderne,10025,4000,4,3.0,700000,
25,sales,4,transitional,10026,4000,4,3.0,750000,
26,rentals,0,multi-family,10027,1000,1,1.0,,1000
27,rentals,1,apartment,10028,1000,1,1.0,,1000
28,rentals,2,condo,10029,1000,1,1.0,,1000
29,rentals,3,co-op,10030,1000,1,1.0,,1000
30,rentals,4,townhome,10031,1500,2,1.0,,1000
31,rentals,0,single-family,10032,1500,3,2.0,,1500
32,rentals,1,colonial,10033,1500,3,2.0,,2000
33,rentals,2,new england,10034,1500,3,2.0,,2100
34,rentals,3,cape cod,10035,1750,3,2.0,,2200
35,rentals,4,classical,10036,1750,3,2.0,,2300
36,rentals,0,federal,10037,1750,3,2.0,,2000
37,rentals,1,greek revival,10038,2000,3,2.0,,2250
38,rentals,2,tidewater,10039,2000,3,2.0,,2250
39,rentals,3,antebellum,10040,2000,3,2.0,,2500
40,rentals,4,victorian,10041,2000,3,2.0,,3000
41,rentals,0,gothic,10043,2000,3,2.0,,2500
42,rentals,1,second empire,10044,2000,3,2.0,,3000
43,rentals,2,queen anne,10045,2000,3,2.0,,3000
44,rentals,3,contemporary,10046,2000,3,2.0,,2000
45,rentals,4,ranch,10055,2000,3,2.0,,2000
46,rentals,0,raised ranch,10060,2000,3,2.0,,2000
47,rentals,1,split-level,10060,2250,3,2.0,,2000
48,rentals,2,bauhaus,10069,2250,3,2.0,,2500
49,rentals,3,art moderne,10072,2500,3,2.0,,2500
50,rentals,4,transitional,10072,2500,3,2.0,,1800
